Word,Meaning
contain,"
----------transitive verb----------
Meaning: Have or hold (someone or something) within.
Example: coffee cans that once contained a full pound of coffee

(hold,have capacity for,have room for,have seating for,have space for,carry,accommodate,seat,)
----------transitive verb----------
Meaning: Control or restrain (oneself or a feeling)
Example: she was scarcely able to contain herself as she waited to spill the beans

(restrain,curb,rein in,suppress,repress,stifle,subdue,quell,limit,swallow,bottle up,keep under control,keep back,hold in,keep in check,)
"
contaminated,"
"
contemn,"
----------transitive verb----------
Meaning: Treat or regard with contempt.
Example: it lay in Deronda's nature usually to contemn the feeble

(despise,scorn,treat with contempt,feel contempt for,look down on,disdain,slight,undervalue,disregard,deride,jeer at,scoff at,mock,revile,spurn,)
"
contemporaries,"
----------adjective----------
Meaning: Living or occurring at the same time.
----------adjective----------
Meaning: Belonging to or occurring in the present.
Example: the tension and complexities of our contemporary society

(modern,present-day,present,current,present-time,immediate,extant,)

----------noun----------
Meaning: A person or thing living or existing at the same time as another.
Example: he was a contemporary of Darwin

(peer,fellow,)
"
contemporary,"
----------adjective----------
Meaning: Belonging to or occurring in the present.
Example: the tension and complexities of our contemporary society

(modern,present-day,present,current,present-time,immediate,extant,)

----------noun----------
Meaning: A person or thing living or existing at the same time as another.
Example: he was a contemporary of Darwin

(peer,fellow,)
"
contender,"
"
contentious,"
----------adjective----------
Meaning: Causing or likely to cause an argument; controversial.
Example: a contentious issue

(controversial,disputable,debatable,disputed,contended,open to debate,open to question,moot,vexed,)
"
contest,"
----------noun----------
Meaning: An event in which people compete for supremacy in a sport, activity, or particular quality.
Example: a beauty contest

(competition,match,tournament,game,meet,)

----------transitive verb----------
Meaning: Engage in competition to attain (a position of power)
Example: she declared her intention to contest the presidency

(compete for,contend for,vie for,challenge for,fight for,fight over,battle for,struggle for,tussle for,)
----------transitive verb----------
Meaning: Oppose (an action, decision, or theory) as mistaken or wrong.
Example: the former chairman contests his dismissal

(oppose,object to,challenge,dispute,take a stand against,resist,defy,strive against,struggle against,take issue with,)
"
context,"
----------noun----------
Meaning: The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed.
Example: the decision was taken within the context of planned cuts in spending

(circumstances,conditions,surroundings,factors,state of affairs,)
"
contextualize,"
"
contiguous,"
----------adjective----------
Meaning: Sharing a common border; touching.
Example: the 48 contiguous states

(adjacent,neighbouring,adjoining,bordering,next-door,)
"
contingency,"
----------noun----------
Meaning: A future event or circumstance which is possible but cannot be predicted with certainty.
Example: a detailed contract that attempts to provide for all possible contingencies

(eventuality,event,chance event,incident,happening,occurrence,juncture,possibility,accident,chance,emergency,)
"
contingent,"
----------adjective----------
Meaning: Subject to chance.
Example: the contingent nature of the job

(chance,accidental,fortuitous,possible,unforeseen,unforeseeable,unexpected,unpredicted,unpredictable,unanticipated,unlooked-for,)
----------adjective----------
Meaning: Occurring or existing only if (certain circumstances) are the case; dependent on.
Example: resolution of the conflict was contingent on the signing of a ceasefire agreement

(dependent,conditional,)

----------noun----------
Meaning: A group of people united by some common feature, forming part of a larger group.
Example: a contingent of Japanese businessmen attending a conference

(group,party,body,band,set,)
"
continually,"
----------adverb----------
Meaning: Repeated frequently in the same way; regularly.
Example: this information is continually updated

(frequently,regularly,repeatedly,recurrently,again and again,time and again,time and time again,)
----------adverb----------
Meaning: Without interruption; constantly.
Example: I was continually moving around

(constantly,continuously,round the clock,day and night,night and day,morning,noon,and night,without a break,non-stop,)
"
continued,"
"
continuing,"
----------adjective----------
Meaning: Without a break in continuity; ongoing.

(ongoing,continuous,sustained,persistent,steady,relentless,uninterrupted,unabating,unremitting,unrelieved,unrelenting,unceasing,)
"
continuity,"
----------noun----------
Meaning: The unbroken and consistent existence or operation of something over a period of time.
Example: pension rights accruing through continuity of employment

(continuousness,uninterruptedness,flow,progression,)
----------noun----------
Meaning: The maintenance of continuous action and self-consistent detail in the various scenes of a movie or broadcast.
"
contract,"
----------noun----------
Meaning: A written or spoken agreement, especially one concerning employment, sales, or tenancy, that is intended to be enforceable by law.
Example: both parties must sign employment contracts

(agreement,commitment,arrangement,settlement,undertaking,understanding,compact,covenant,pact,bond,)

----------verb----------
Meaning: Decrease in size, number, or range.
Example: glass contracts as it cools

(shrink,get smaller,become smaller,)
----------verb----------
Meaning: Enter into a formal and legally binding agreement.
Example: the local authority will contract with a wide range of agencies to provide services

(undertake,pledge,promise,covenant,commit oneself,engage,)
----------verb----------
Meaning: Catch or develop (a disease or infectious agent)
Example: three people contracted a killer virus

(develop,catch,get,pick up,come down with,become infected with,fall ill with,be taken ill with,be struck down with,be stricken with,succumb to,)
----------verb----------
Meaning: Become liable to pay (a debt)
Example: he contracted a debt of $3,300

(incur,become liable to pay,acquire,fall into,)
"
contractual,"
----------adjective----------
Meaning: Agreed in a contract.
Example: a contractual obligation

(compulsory,obligatory,mandatory,involuntary,forced,exacted,coerced,imposed,demanded,required,requisite,stipulated,contractual,binding,necessitated,necessary,unavoidable,inescapable,obliged,impelled,constrained,dictated,ordained,prescribed,)
"
contradict,"
----------transitive verb----------
Meaning: Deny the truth of (a statement) by asserting the opposite.
Example: the survey appears to contradict the industry's claims

(deny,refute,rebut,dispute,counter,)
"
contrary,"
----------adjective----------
Meaning: Opposite in nature, direction, or meaning.
Example: he ignored contrary advice and agreed on the deal

(opposite,opposing,opposed,contradictory,clashing,conflicting,antithetical,incompatible,irreconcilable,)
----------adjective----------
Meaning: Perversely inclined to disagree or to do the opposite of what is expected or desired.
Example: she is sulky and contrary where her work is concerned

(perverse,awkward,difficult,uncooperative,unhelpful,obstructive,disobliging,unaccommodating,unreasonable,troublesome,tiresome,annoying,vexatious,disobedient,recalcitrant,refractory,wilful,headstrong,self-willed,capricious,wayward,cross-grained,)

----------noun----------
Meaning: The opposite.
Example: the magazine has proved that the contrary is true

(opposite,reverse,converse,antithesis,)
"
